iter	Passed	Remaining
286	738	1835
287	741	1832
288	743	1830
289	746	1827
290	749	1825
291	751	1822
292	754	1819
293	756	1816
294	758	1812
295	760	1809
296	763	1806
297	765	1802
298	767	1799
299	769	1795
300	771	1792
301	774	1789
302	776	1786
303	778	1783
304	781	1780
305	783	1775
306	785	1772
307	786	1767
308	788	1764
309	791	1760
310	793	1758
311	796	1755
312	798	1753
313	800	1749
314	802	1746
315	805	1743
316	807	1739
317	809	1736
318	812	1733
319	814	1731
320	816	1727
321	818	1724
322	820	1720
323	823	1717
324	825	1715
325	828	1712
326	830	1709
327	832	1705
328	834	1702
329	836	1698
330	839	1695
331	841	1692
332	843	1689
333	845	1686
334	848	1683
335	850	1680
336	852	1678
337	855	1674
338	857	1672
339	859	1669
340	862	1666
341	864	1664
342	867	1661
343	869	1657
344	871	1655
345	874	1652
346	876	1649
347	878	1646
348	880	1642
349	882	1639
350	885	1636
351	887	1633
352	889	1629
353	891	1627
354	893	1624
355	895	1620
356	897	1616
357	899	1613
358	901	1610
359	904	1607
360	906	1604
361	908	1601
362	911	1599
363	912	1594
364	914	1591
365	917	1588
366	918	1584
367	920	1581
368	922	1577
369	924	1574
370	926	1571
371	929	1568
372	931	1565
373	933	1562
374	936	1560
375	938	1557
376	940	1554
377	943	1551
378	945	1548
379	947	1546
380	949	1543
381	952	1540
382	954	1537
383	956	1534
384	959	1532
385	961	1529
386	963	1526
387	966	1523
388	968	1520
389	970	1518
390	972	1515
391	975	1513
392	977	1510
393	980	1507
394	982	1504
395	984	1500
396	986	1498
397	988	1494
398	990	1492
399	992	1488
400	994	1486
401	996	1483
402	999	1480
403	1000	1476
404	1002	1473
405	1005	1471
406	1007	1468
407	1009	1465
408	1012	1462
409	1014	1459
410	1016	1456
411	1018	1453
412	1020	1451
413	1023	1448
414	1025	1446
415	1028	1443
416	1030	1441
417	1032	1438
418	1036	1436
419	1038	1433
420	1040	1431
421	1042	1428
422	1045	1425
423	1047	1422
424	1049	1420
425	1051	1417
426	1053	1414
427	1056	1411
428	1058	1408
429	1060	1405
430	1062	1402
431	1064	1400
432	1067	1397
433	1069	1394
434	1071	1392
435	1074	1389
436	1076	1386
437	1078	1383
438	1080	1381
439	1083	1378
440	1085	1375
441	1087	1373
442	1090	1370
443	1092	1368
444	1094	1365
445	1097	1362
446	1099	1360
447	1101	1357
448	1104	1355
449	1106	1352
450	1109	1350
451	1112	1348
452	1114	1345
453	1116	1342
454	1118	1339
455	1120	1337
456	1123	1334
457	1125	1331
458	1127	1329
459	1130	1326
460	1132	1323
461	1134	1321
462	1136	1318
463	1139	1316
464	1141	1313
465	1143	1310
466	1146	1308
467	1148	1305
468	1151	1303
469	1153	1300
470	1155	1297
471	1157	1295
472	1160	1292
473	1162	1290
474	1164	1287
475	1167	1285
476	1169	1282
477	1172	1280
478	1174	1277
479	1176	1274
480	1179	1272
481	1181	1269
482	1183	1267
483	1186	1264
484	1188	1261
485	1190	1259
486	1192	1256
487	1195	1254
488	1197	1251
489	1200	1249
490	1202	1246
491	1204	1243
492	1206	1241
493	1209	1238
494	1211	1235
495	1214	1233
496	1216	1231
497	1218	1228
498	1220	1225
499	1223	1223
500	1225	1220
501	1227	1217
502	1230	1215
503	1232	1213
504	1234	1210
505	1237	1207
506	1239	1205
507	1242	1203
508	1244	1200
509	1247	1198
510	1249	1195
511	1251	1193
512	1254	1190
513	1256	1187
514	1258	1185
515	1261	1182
516	1263	1180
517	1265	1177
518	1267	1174
519	1269	1172
520	1272	1169
521	1274	1167
522	1277	1164
523	1279	1162
524	1281	1159
525	1283	1156
526	1286	1154
527	1288	1151
528	1291	1149
529	1293	1146
530	1295	1144
531	1298	1142
532	1300	1139
533	1303	1137
534	1305	1134
535	1307	1132
536	1309	1129
537	1312	1126
538	1314	1124
539	1317	1121
540	1319	1119
541	1321	1116
542	1323	1114
543	1326	1111
544	1328	1109
545	1330	1106
546	1332	1103
547	1335	1101
548	1337	1098
549	1339	1095
550	1341	1093
551	1343	1090
552	1346	1088
553	1348	1085
554	1351	1083
555	1353	1081
556	1356	1078
557	1357	1075
558	1360	1073
559	1362	1070
560	1364	1067
561	1366	1065
562	1369	1062
563	1371	1060
564	1373	1057
565	1375	1054
566	1378	1053
567	1381	1050
568	1383	1047
569	1385	1045
570	1388	1042
571	1390	1040
572	1393	1038
573	1395	1035
574	1397	1032
575	1399	1030
576	1401	1027
577	1403	1024
578	1405	1021
579	1407	1018
580	1408	1015
581	1410	1012
582	1412	1010
583	1413	1006
584	1415	1003
585	1416	1000
586	1417	997
587	1419	994
588	1420	991
589	1421	988
590	1423	985
591	1426	982
592	1428	980
593	1430	978
594	1433	975
595	1435	973
596	1437	970
597	1440	968
598	1443	966
599	1445	963
600	1447	960
601	1449	958
602	1453	956
603	1455	954
604	1457	951
605	1459	949
606	1462	946
607	1465	944
608	1473	945
609	1474	943
610	1476	940
611	1479	937
612	1482	935
613	1485	933
614	1487	931
615	1489	928
616	1491	926
617	1494	923
618	1497	921
619	1499	919
620	1501	916
621	1503	913
622	1505	911
623	1508	908
624	1510	906
625	1515	905
626	1517	902
627	1519	900
628	1521	897
629	1523	894
630	1526	892
631	1529	890
632	1531	887
633	1533	885
634	1535	882
635	1538	880
636	1541	878
637	1544	876
638	1546	873
639	1548	871
640	1551	868
641	1553	866
642	1555	863
643	1557	861
644	1559	858
645	1562	856
646	1563	853
647	1565	850
648	1567	847
649	1569	845
650	1573	843
651	1575	841
652	1577	838
653	1579	835
654	1581	833
655	1584	830
656	1587	828
657	1589	826
658	1591	823
659	1593	821
660	1596	818
661	1598	816
662	1601	813
663	1603	811
664	1605	808
665	1607	806
666	1610	803
667	1612	801
668	1614	799
669	1617	796
670	1619	794
671	1622	791
672	1625	789
673	1627	787
674	1628	784
675	1631	781
676	1632	778
677	1634	776
678	1637	774
679	1639	771
680	1642	769
681	1644	766
682	1647	764
683	1649	762
684	1651	759
685	1653	756
686	1655	754
687	1657	751
688	1658	748
689	1661	746
690	1663	743
691	1665	741
692	1668	738
693	1670	736
694	1672	734
695	1674	731
696	1676	728
697	1678	726
698	1681	723
699	1683	721
700	1685	718
701	1687	716
702	1690	714
703	1692	711
704	1695	709
705	1696	706
706	1699	704
707	1701	701
708	1703	699
709	1705	696
710	1707	694
711	1710	691
712	1712	689
713	1714	686
714	1717	684
715	1719	681
716	1721	679
717	1723	676
718	1725	674
719	1727	671
720	1730	669
721	1732	667
722	1734	664
723	1737	662
724	1741	660
725	1743	658
726	1746	655
727	1748	653
728	1750	650
729	1752	648
730	1754	645
731	1756	643
732	1759	640
733	1761	638
734	1763	635
735	1766	633
736	1768	631
737	1770	628
738	1772	626
739	1775	623
740	1777	621
741	1779	618
742	1782	616
743	1784	613
744	1786	611
745	1789	609
746	1791	606
747	1793	604
748	1796	602
749	1798	599
750	1800	597
751	1802	594
752	1805	592
753	1807	589
754	1809	587
755	1812	584
756	1814	582
757	1816	579
758	1818	577
759	1820	575
760	1823	572
761	1826	570
762	1829	568
763	1831	565
764	1834	563
765	1836	561
766	1838	558
767	1841	556
768	1843	553
769	1846	551
770	1848	549
771	1850	546
772	1852	543
773	1854	541
774	1856	539
775	1859	536
776	1861	534
777	1863	531
778	1865	529
779	1868	526
780	1869	524
781	1871	521
782	1873	519
783	1875	516
784	1878	514
785	1880	512
786	1882	509
787	1885	507
788	1887	504
789	1889	502
790	1892	499
791	1894	497
792	1896	495
793	1898	492
794	1901	490
795	1903	487
796	1905	485
797	1907	482
798	1909	480
799	1912	478
800	1915	475
801	1917	473
802	1919	470
803	1921	468
804	1923	466
805	1926	463
806	1928	461
807	1930	458
808	1933	456
809	1935	453
810	1937	451
811	1940	449
812	1942	446
813	1945	444
814	1947	442
815	1949	439
816	1951	437
817	1953	434
818	1955	432
819	1958	429
820	1960	427
821	1963	425
822	1966	423
823	1969	420
824	1971	418
825	1974	415
826	1976	413
827	1978	411
828	1980	408
829	1983	406
830	1985	403
831	1987	401
832	1989	398
833	1992	396
834	1994	394
835	1996	391
836	1998	389
837	2001	386
838	2003	384
839	2006	382
840	2008	379
841	2010	377
842	2013	374
843	2015	372
844	2018	370
845	2020	367
846	2022	365
847	2024	362
848	2026	360
849	2028	358
850	2030	355
851	2032	353
852	2035	350
853	2037	348
854	2038	345
855	2040	343
856	2043	340
857	2045	338
858	2047	336
859	2049	333
860	2051	331
861	2054	328
862	2056	326
863	2058	324
864	2060	321
865	2063	319
866	2065	316
867	2067	314
868	2069	312
869	2072	309
870	2074	307
871	2076	304
872	2079	302
873	2081	300
874	2083	297
875	2086	295
876	2088	292
877	2090	290
878	2092	288
879	2094	285
880	2097	283
881	2099	280
882	2102	278
883	2104	276
884	2106	273
885	2109	271
886	2111	268
887	2113	266
888	2115	264
889	2118	261
890	2120	259
891	2122	257
892	2125	254
893	2127	252
894	2130	249
895	2132	247
896	2134	245
897	2137	242
898	2139	240
899	2141	237
900	2144	235
901	2146	233
902	2148	230
903	2150	228
904	2153	226
905	2155	223
906	2158	221
907	2160	218
908	2162	216
909	2165	214
910	2167	211
911	2169	209
912	2172	207
913	2174	204
914	2176	202
915	2178	199
916	2181	197
917	2183	195
918	2185	192
919	2188	190
920	2190	187
921	2192	185
922	2195	183
923	2197	180
924	2201	178
925	2203	176
926	2206	173
927	2208	171
928	2210	168
929	2213	166
930	2215	164
931	2218	161
932	2220	159
933	2223	157
934	2224	154
935	2226	152
936	2228	149
937	2231	147
938	2233	145
939	2235	142
940	2237	140
941	2240	137
942	2242	135
943	2244	133
944	2247	130
945	2249	128
946	2252	126
947	2254	123
948	2256	121
949	2259	118
950	2261	116
951	2263	114
952	2265	111
953	2268	109
954	2270	106
955	2272	104
956	2275	102
957	2277	99
958	2279	97
959	2281	95
960	2284	92
961	2286	90
962	2289	87
963	2291	85
964	2293	83
965	2294	80
966	2296	78
967	2297	75
968	2298	73
969	2300	71
970	2302	68
971	2303	66
972	2304	63
973	2305	61
974	2306	59
975	2307	56
976	2309	54
977	2310	51
978	2311	49
979	2313	47
980	2315	44
981	2318	42
982	2319	40
983	2321	37
984	2323	35
985	2325	33
986	2328	30
987	2330	28
988	2332	25
989	2334	23
990	2337	21
991	2339	18
992	2341	16
993	2343	14
994	2346	11
995	2348	9
996	2351	7
997	2353	4
998	2355	2
999	2358	0
