iter	Passed	Remaining
438	1277	1632
439	1281	1630
440	1282	1625
441	1285	1623
442	1289	1620
443	1290	1616
444	1292	1611
445	1294	1607
446	1295	1603
447	1297	1598
448	1298	1593
449	1303	1592
450	1304	1587
451	1305	1582
452	1307	1578
453	1308	1573
454	1309	1568
455	1310	1563
456	1311	1558
457	1312	1553
458	1316	1551
459	1318	1548
460	1320	1543
461	1322	1539
462	1323	1535
463	1324	1530
464	1326	1525
465	1330	1524
466	1332	1521
467	1335	1517
468	1337	1514
469	1339	1510
470	1340	1505
471	1342	1501
472	1345	1499
473	1350	1498
474	1352	1494
475	1355	1492
476	1357	1488
477	1361	1486
478	1363	1483
479	1365	1479
480	1368	1477
481	1372	1474
482	1376	1473
483	1380	1471
484	1381	1467
485	1382	1462
486	1384	1458
487	1385	1453
488	1387	1449
489	1399	1456
490	1400	1452
491	1402	1447
492	1403	1443
493	1409	1443
494	1411	1440
495	1414	1437
496	1416	1433
497	1418	1430
498	1422	1428
499	1424	1424
500	1426	1420
501	1428	1416
502	1430	1413
503	1431	1408
504	1433	1405
505	1439	1405
506	1442	1402
507	1443	1397
508	1444	1393
509	1445	1389
510	1447	1384
511	1448	1380
512	1456	1382
513	1459	1379
514	1461	1376
515	1463	1372
516	1464	1368
517	1467	1365
518	1469	1362
519	1472	1359
520	1474	1355
521	1476	1352
522	1478	1348
523	1482	1347
524	1485	1343
525	1486	1339
526	1490	1337
527	1492	1333
528	1493	1330
529	1498	1328
530	1500	1325
531	1501	1321
532	1503	1317
533	1507	1315
534	1510	1312
535	1514	1310
536	1516	1307
537	1517	1303
538	1518	1298
539	1519	1294
540	1522	1292
541	1525	1289
542	1530	1288
543	1532	1285
544	1534	1280
545	1535	1276
546	1536	1272
547	1539	1269
548	1544	1268
549	1548	1267
550	1550	1263
551	1552	1259
552	1553	1255
553	1555	1251
554	1561	1252
555	1563	1248
556	1565	1244
557	1567	1241
558	1568	1237
559	1569	1233
560	1571	1229
561	1577	1229
562	1579	1225
563	1581	1222
564	1582	1218
565	1584	1214
566	1585	1210
567	1589	1208
568	1591	1205
569	1594	1202
570	1596	1199
571	1600	1197
572	1607	1197
573	1612	1197
574	1614	1193
575	1616	1190
576	1621	1188
577	1623	1185
578	1625	1181
579	1627	1178
580	1628	1174
581	1630	1171
582	1635	1170
583	1638	1167
584	1640	1163
585	1642	1160
586	1645	1157
587	1649	1155
588	1652	1152
589	1653	1149
590	1654	1145
591	1656	1141
592	1660	1139
593	1662	1136
594	1667	1134
595	1669	1131
596	1670	1127
597	1672	1124
598	1673	1120
599	1677	1118
600	1682	1116
601	1683	1113
602	1686	1110
603	1688	1106
604	1689	1103
605	1691	1099
606	1692	1095
607	1696	1093
608	1698	1090
609	1701	1087
610	1703	1084
611	1705	1081
612	1707	1077
613	1711	1075
614	1713	1072
615	1716	1069
616	1718	1066
617	1725	1066
618	1727	1063
619	1728	1059
620	1730	1055
621	1732	1052
622	1735	1049
623	1742	1049
624	1745	1047
625	1746	1043
626	1747	1039
627	1749	1036
628	1750	1032
629	1751	1028
630	1760	1029
631	1761	1025
632	1764	1022
633	1766	1019
634	1770	1017
635	1772	1014
636	1774	1010
637	1775	1007
638	1777	1004
639	1780	1001
640	1787	1001
641	1790	998
642	1791	994
643	1793	991
644	1794	987
645	1797	985
646	1803	984
647	1805	980
648	1808	977
649	1809	974
650	1811	971
651	1812	967
652	1817	965
653	1819	962
654	1820	958
655	1822	955
656	1824	952
657	1827	949
658	1834	949
659	1836	945
660	1837	942
661	1839	938
662	1841	935
663	1843	932
664	1848	931
665	1850	928
666	1853	925
667	1854	921
668	1871	926
669	1874	923
670	1876	919
671	1878	916
672	1881	913
673	1883	911
674	1886	908
675	1889	905
676	1891	902
677	1894	899
678	1895	895
679	1896	892
680	1899	890
681	1906	888
682	1908	885
683	1909	882
684	1910	878
685	1911	875
686	1912	871
687	1920	870
688	1922	867
689	1924	864
690	1926	861
691	1928	858
692	1929	854
693	1930	851
694	1936	849
695	1939	847
696	1941	843
697	1943	840
698	1944	837
699	1945	833
700	1948	831
701	1951	828
702	1953	825
703	1955	822
704	1958	819
705	1961	816
706	1967	815
707	1969	812
708	1971	809
709	1973	805
710	1974	802
711	1976	799
712	1980	797
713	1984	794
714	1986	791
715	1988	788
716	1990	785
717	1991	782
718	1997	780
719	2004	779
720	2010	777
721	2013	775
722	2014	771
723	2016	768
724	2018	765
725	2020	762
726	2026	761
727	2029	758
728	2031	755
729	2032	751
730	2036	749
731	2040	747
732	2043	744
733	2045	741
734	2047	738
735	2049	735
736	2050	731
737	2052	728
738	2055	725
739	2058	723
740	2060	720
741	2061	716
742	2065	714
743	2067	711
744	2073	709
745	2075	706
746	2076	703
747	2078	700
748	2080	697
749	2083	694
750	2091	693
751	2093	690
752	2094	687
753	2095	683
754	2097	680
755	2104	679
756	2107	676
757	2110	673
758	2112	670
759	2113	667
760	2119	665
761	2122	662
762	2124	659
763	2126	656
764	2128	653
765	2129	650
766	2133	648
767	2136	645
768	2138	642
769	2139	639
770	2143	636
771	2150	635
772	2151	631
773	2153	628
774	2155	625
775	2156	622
776	2157	619
777	2158	616
778	2162	613
779	2165	610
780	2168	608
781	2170	605
782	2172	602
783	2173	598
784	2176	596
785	2180	593
786	2182	590
787	2186	588
788	2188	585
789	2189	582
790	2193	579
791	2195	576
792	2197	573
793	2199	570
794	2201	567
795	2203	564
796	2208	562
797	2210	559
798	2212	556
799	2213	553
800	2215	550
801	2218	547
802	2220	544
803	2224	542
804	2225	539
805	2227	536
806	2228	532
807	2230	530
808	2233	527
809	2237	524
810	2239	521
811	2241	518
812	2242	515
813	2244	512
814	2246	509
815	2247	506
816	2256	505
817	2258	502
818	2259	499
819	2261	496
820	2264	493
821	2267	491
822	2271	488
823	2273	485
824	2274	482
825	2276	479
826	2277	476
827	2279	473
828	2283	471
